Gatunek;KOL;APZ;APW;D1;D2;PS;R;SC;PL;PYL;K-J;PYLZN;PYLPL;ZN;SZY;NB;KAT;V;KON;MASA;POW;NAS;WYS;SZER;SZEW
F. gussichiae;3/1;;;;;;;;37,45;24,75;;2,07;2,32;;;;;40;12;;19,6;7,99;4,23;3,99;2,9
F. gussichiae;3/1;;;;;;;;35,18;25,07;;0,9;6,98;;;;;;;;24,12;9,2;4;4;2,5
F. gussichiae;3/1;;;;;;;;35,17;24,68;;0,17;8,25;;;;;;;;22,13;8,9;3,99;4;2,4
F. gussichiae;3/1;4;;22,57;23,19;23,17;;17,03;36,28;26,75;;1,53;10,57;27,69;10,95;;;;;;;;;;
F. gussichiae;3/1;;;;;;;;35,99;25,53;;0,29;6,19;;;;;;;;;;;;
F. gussichiae;3/1;;;;;;;;36,63;27,33;;0,58;4,61;;;;;;;;;;;;
F. gussichiae;3/1;;;;;;;;34,77;26,89;;0,95;7,15;;;;;;;;;;;;
F. gussichiae;3/1;;;;;;;;34,39;26,61;;0,41;7,61;;;;;;;;;;;;
F. gussichiae;3/1;;;29,53;27,68;27,67;;20,38;34,81;26,61;;0,54;8,3;;;;;;;;;;;;
F. gussichiae;3/1;;;;;;;;31,8;21,24;;3,24;9,22;;;;;;;;;;;;
F. gussichiae;3/1;;;;;;;;31,8;21,2;;3,23;8,01;;;;;;;;;;;;
F. gussichiae;3/1;;;;;;;;31,8;22,75;;2,67;8,29;;;;;;;;;;;;
F. gussichiae;3/1;;;;;;;;31,61;23,07;;2,49;11,46;;;;;;;;;;;;
F. gussichiae;3/1;;;;;;;;30,67;21,55;;1,06;9,85;;;;;;;;;;;;
F. gussichiae;3/1;;;;;;;;30,67;21,33;;1,25;7,9;;;;;;;;;;;;
F. gussichiae;3/1;;;28,37;28,18;28,18;;23,27;33,12;20,42;;;8,12;;;;;;;;;;;;
F. gussichiae;3/1;;;;;;;;33,08;20,36;;;10,35;;;;;;;;;;;;
F. gussichiae;3/1;;;;;;;;33,08;21,06;;;13,68;;;;;;;;;;;;
F. gussichiae;3/1;;;;;;;;33,09;21,08;;;34,12;;;;;;;;;;;;
F. gussichiae;3/1;;;;;;;;33,08;19,01;;;26,05;;;;;;;;;;;;
F. gussichiae;3/1;;;;;;;;33,08;18,74;;;12,83;;;;;;;;;;;;
F. gussichiae;3/1;;;;;;;;;;;;;;;;;;;;;;;;
F. gussichiae;3/1;5;;;;;;;;;0;;;;;;;;;;;;;;
F. hermonis;1;9;4;;25;17;0,894736842;18;19;13;-6;0;5;15;6;1;65;8,5;61,25;0,00738;;;;;
F. hermonis;1;7;5;;;;0;;19;13;-6;0;4;;;;;;;;;;;;
F. hermonis;1;3;4;;;;0;;18;12;-6;0;6;;;;;;;;;;;;
F. hermonis;1;10;6;;;;0;;20;12;-8;0;5;;;;;;;;;;;;
F. hermonis;1;;4;;;;0;;20;12;-8;0;5;;;;;;;;;;;;
F. hermonis;1;;;;24;15;0,535714286;10;28;13;-15;0;5;13;8;2;85;;;;;;;;
F. hermonis;1;;;;;;0;;27;14;-13;0;;;;;;;;;;;;;
F. hermonis;1;;;;;;0;;27;13;-14;0;;;;;;;;;;;;;
F. hermonis;1;;;;;;0;;29;12;-17;0;;;;;;;;;;;;;
F. hermonis;1;;;;;;0;;30;12;-18;0;;;;;;;;;;;;;
F. hermonis;1;;;;;;0;;30;14;-16;0;;;;;;;;;;;;;
F. hermonis;1;;;35;24;24;0,705882353;35;34;9;-25;3;6;20;9;2;115;;;;;;;;
F. hermonis;1;;;30;21;25;0,714285714;21;35;9;-26;2;6;18;6;1;120;;;;;;;;
F. hermonis;1;;;;;;0;;35;9;-26;3;7;;;1;90;;;;;;;;
F. hermonis;1;;;;;;0;;31;9;-22;3;6;;;;;;;;;;;;
F. hermonis;1;;;;;;0;;33;9;-24;4;8;;;;;;;;;;;;
F. hermonis;1;;;;;;0;;31;14;-17;2;7;;;;;;;;;;;;
F. hermonis;1;;;;;;0;;34;14;-20;3;11;;;;;;;;;;;;
F. hermonis;1;;;;;;0;;32;14;-18;3;6;;;;;;;;;;;;
F. hermonis;1;;;;;;0;;32;13;-19;2;5;;;;;;;;;;;;
F. hermonis;1;;;;;;0;;33;14;-19;2;6;;;;;;;;;;;;
F. hermonis;1;;;;;;0;;32;14;-18;3;7;;;;;;;;;;;;
F. hermonis;1;;;;;;0;;32;;-32;1;5;;;;;;;;;;;;
F. imperialis;5;19;0;61;59;44;0,956521739;39;46;50;4;0;24;67;20;5;60;55;18,75;0,44746;24,30555556;1,388888889;4,166666667;5,833333333;
F. imperialis;5;10;3;54;55;41;0,931818182;46;44;50;6;0;27;67;19;5;60;65;17,5;0,48029;19,44444444;1,388888889;3,333333333;5,833333333;
F. imperialis;5;8;3;63;55;48;1,11627907;36;43;49;6;0;32;67;18;4;;53;16,25;0,37305;24,66;1,4;4,11;6;
F. imperialis;5;8;2;60;52;41;0,891304348;44;46;36;-10;0;21;63;18;;;35;15,25;0,31541;25,398;4,96;4,15;6,12;
F. imperialis;5;9;;61;69;;0;61;47;36;-11;0;31;;;;;;;0,2284;27,429;1,56;4,46;6,15;
F. imperialis;5;15;;60;58;;0;;47;57;10;0;29;;;;;156;14,5;0,22328;31,36;1,4;4,9;6,4;
F. imperialis;5;;;;;;0;;47;54;7;0;25;;;;;211;10,5;0,19746;;;;;
F. imperialis;5;;;;;;0;;50;54;4;0;25;;;;;239;8;0,34779;;;;;
F. imperialis;5;;;;;;0;;51;50;-1;0;19;;;;;244,5;8;0,37549;;;;;
F. imperialis;5;;;;;;0;;50;50;0;0;26;;;;;214;9,5;0,38291;;;;;
F. imperialis;5;;;;;;0;;48;48;0;0;23;;;;;352,5;14;0,31027;;;;;
F. imperialis;5;;;;;;0;;49;31;-18;0;23;;;;;390;15;0,21164;;;;;
F. imperialis;5;;;;;;0;;49;49;0;0;46;;;;;368,5;20;0,25013;;;;;
F. imperialis;5;;;;;;;;;49;49;0;26;;;;;272;17;0,34865;;;;;
F. imperialis;5;;;;;;;;;41;41;0;26;;;;;175;9,5;0,19458;;;;;
F. imperialis;5;;;;;;;;;44;44;0;36;;;;;233;14,3;0,31641;;;;;
F. imperialis;5;;;;;;;;;42;42;0;32;;;;;300;16,3;0,09824;;;;;
F. imperialis;5;;;;;;;;;31;31;0;20;;;;;182;10;0,35926;;;;;
F. imperialis;5;;;;;;;;;49;49;0;25;;;;;260;17,5;0,34819;;;;;
F. imperialis;5;;;;;;;;;49;49;0;20;;;;;68;8;0,18965;;;;;
F. imperialis;5;;;;;;;;;43;43;0;57;;;;;306;12,2;;;;;;
F. imperialis;5;;;;;;;;;43;43;0;57;;;;;300;;;;;;;
F. imperialis;5;;;;;;;;;42;42;0;51;;;;;157;;;;;;;
F. imperialis;5;;;;;;;;;63;63;0;56;;;;;174;;;;;;;
F. imperialis;5;;;;;;;;;63;63;0;56;;;;;146;;;;;;;
F. imperialis;5;;;;;;;;;59;59;0;56;;;;;274;;;;;;;
F. imperialis;5;;;;;;;;;54;54;0;23;;;;;143;;;;;;;
F. imperialis;5;;;;;;;;;54;54;0;22;;;;;155;;;;;;;
F. imperialis;5;;;;;;;;;52;52;0;23;;;;;;;;;;;;
F. imperialis;5;;;;;;;;;57;57;0;22;;;;;;;;;;;;
F. imperialis;5;;;;;;;;;57;57;0;24;;;;;;;;;;;;
F. imperialis;5;;;;;;;;;53;53;0;;;;;;;;;;;;;
F. imperialis;5;;;;;;;;;52;52;0;;;;;;;;;;;;;
F. imperialis;5;;;;;;;;;52;52;0;;;;;;;;;;;;;
F. imperialis;5;;;;;;;;;53;53;0;;;;;;;;;;;;;
F. imperialis;5;;;32,19;36,49;32,58;0,749827388;71,27;43,45;29,6;-13,85;1,4;7,19;36,07;21,9;;;;;;;;;;
F. imperialis;5;;;;;;0;;43,86;28,92;-14,94;2,6;10,79;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;43,74;30,2;-13,54;0,7;11,25;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;42,05;28,8;-13,25;0,87;11,08;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;41,26;27,35;-13,91;0;9,18;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;42,55;29,23;-13,32;0;9,31;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;42,55;;-42,55;;;;;;;;;;;;;;
F. imperialis;5;;;29,46;32,13;30,02;0,708854782;54,6;42,35;28,75;-13,6;1,4;12,34;34,08;19,42;;;;;;;;;;
F. imperialis;5;;;;;;0;;44,42;28,25;-16,17;2,07;9,6;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;43,79;29,35;-14,44;2,59;9,11;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;41,13;30,09;-11,04;0,17;10,18;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;42,27;29,46;-12,81;0,21;9,17;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;38,47;30,79;-7,68;0,1;9,26;;;;;;;;;;;;
F. imperialis;5;;;37,2;42,29;39,87;1,112444196;50,09;35,84;24,03;-11,81;1,8;12,11;26,33;17,25;;;;;;;;;;
F. imperialis;5;;;;;;0;;39,1;24,28;-14,82;0,91;10,27;10,27;;;;;;;;;;;
F. imperialis;5;;;;;;0;;35,8;25,22;-10,58;1,88;10,54;10,54;;;;;;;;;;;
F. imperialis;5;;;;;;0;;34,8;24,24;-10,56;0,09;12,38;12,38;;;;;;;;;;;
F. imperialis;5;;;;;;0;;33,58;23,4;-10,18;0,45;15,81;15,81;;;;;;;;;;;
F. imperialis;5;;;;;;0;;33,58;24,13;-9,45;0,08;15,81;15,81;;;;;;;;;;;
F. imperialis;5;;;36,39;35,86;33;0,871402165;77,07;37,87;25,04;-12,83;1,03;10,53;32,06;16,79;;;;;;;;;;
F. imperialis;5;;;;;;0;;38,12;25,64;-12,48;1,17;10,53;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;37,61;24,66;-12,95;0,52;13,72;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;36,54;24,66;-11,88;0,52;12,08;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;36,48;23,18;-13,3;0,09;12,08;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;37,37;;-37,37;0,96;11,94;;;;;;;;;;;;
F. imperialis;5;;;35,06;31,37;30,87;0,766195086;87,64;40,29;26,33;-13,96;0,08;6,39;30,41;16,94;;;;;;;;;;
F. imperialis;5;;;;;;0;;40,55;27,16;-13,39;0,08;8,42;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;40,56;26,61;-13,95;2,66;10,96;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;38,54;26,01;-12,53;3,79;10,24;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;38,72;27,3;-11,42;2,29;11,4;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;36,98;23,09;-13,89;1,47;6,14;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;36,97;;-36,97;;;;;;;;;;;;;;
F. imperialis;5;;;33,24;28,35;26,35;0,625742104;71,18;42,11;25,57;-16,54;0,07;4,89;26,79;17,08;;;;;;;;;;
F. imperialis;5;;;;;;0;;39,54;26,24;-13,3;0,2;5,88;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;40,52;27,58;-12,94;2,15;16,75;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;37,16;26,16;-11;4,07;8,36;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;37,6;25,94;-11,66;2,95;12,14;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;37,59;25,38;-12,21;1,75;10,1;;;;;;;;;;;;
F. imperialis;5;;;49,94;39,24;36,34;0,781673478;45,95;46,49;27,93;-18,56;0,24;13,09;30,57;19,82;;;;;;;;;;
F. imperialis;5;;;;;;0;;46,48;28,94;-17,54;3,93;11,71;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;36,93;32,57;-4,36;3,35;12,47;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;40,51;30,24;-10,27;0,65;13,65;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;41,08;28,9;-12,18;0,98;14,48;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;41,09;28,91;-12,18;2,28;14,48;;;;;;;;;;;;
F. imperialis;5;;;;;;;;;;0;3,03;;;;;;;;;;;;;
F. imperialis;5;;;40,21;35,21;33,87;0,754679144;30,67;44,88;28,1;-16,78;0,08;5,46;30,71;16,88;;;;;;;;;;
F. imperialis;5;;;;;;0;;48,07;28,63;-19,44;1,95;8,82;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;45,85;27,45;-18,4;2,43;10,99;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;41,44;29,09;-12,35;0,07;11,11;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;40,84;27,61;-13,23;0,77;11,3;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;40,38;27,51;-12,87;;10,19;;;;;;;;;;;;
F. imperialis;5;;;37,34;35,13;13,78;0,313324238;45,57;43,98;27,29;-16,69;0,89;8,54;32,14;19,5;;;;;;;;;;
F. imperialis;5;;;;;;0;;43,98;27,05;-16,93;0,07;8,79;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;41,29;27,57;-13,72;1;10,04;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;41,29;28,05;-13,24;1,19;13,21;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;39,92;28,91;-11,01;0,51;13,12;;;;;;;;;;;;
F. imperialis;5;;;;;;;;;27,38;27,38;1,83;14,57;;;;;;;;;;;;
F. imperialis;5;;;40,42;32,98;37,74;0,859289617;41,57;43,92;28,78;-15,14;0,36;11,3;31,52;18,73;;;;;;;;;;
F. imperialis;5;;;;;;0;;44,68;28,79;-15,89;1,13;12,34;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;43,04;27,61;-15,43;2,5;15,16;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;38,16;29,15;-9,01;3,04;15,32;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;38,84;28,65;-10,19;1,89;12,68;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;38,84;28,48;-10,36;1,9;12,68;;;;;;;;;;;;
F. imperialis;5;;;30,35;30,34;30,33;0,906726457;60,06;33,45;30,27;-3,18;1,52;9,72;28,56;18,36;;;;;;;;;;
F. imperialis;5;;;;;;0;;35,84;27,48;-8,36;2,15;9,88;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;30,05;25,55;-4,5;2,15;10,93;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;33,21;27,29;-5,92;0,3;11,73;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;31,63;26,08;-5,55;1,08;10,37;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;35,84;24,87;-10,97;1,88;10,38;;;;;;;;;;;;
F. imperialis;5;;;24,35;27,99;25,17;0,703662287;44,54;35,77;25,2;-10,57;2,19;9,5;27,34;17,05;;;;;;;;;;
F. imperialis;5;;;;;;0;;36,02;26,98;-9,04;3,84;9,5;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;37,64;26,94;-10,7;2,18;9,6;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;34,94;27,45;-7,49;0,64;5,54;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;32,6;28,17;-4,43;0,95;9,54;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;31,42;26,7;-4,72;1,1;4,85;;;;;;;;;;;;
F. imperialis;5;;;27,05;25,14;25,14;0,740282686;67,5;33,96;22,96;-11;3,04;7,75;28,16;18,12;;;;;;;;;;
F. imperialis;5;;;;;;0;;33,23;22,33;-10,9;2,53;9;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;34,86;21,45;-13,41;2,53;12,5;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;31,97;21,98;-9,99;1,8;9,98;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;32,08;23,45;-8,63;1,96;11,38;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;32,44;22,96;-9,48;0,08;6,47;;;;;;;;;;;;
F. imperialis;5;;;29,55;27,24;64,07;1,891086187;34,68;33,88;22,06;-11,82;1,33;11,17;27,35;15,96;;;;;;;;;;
F. imperialis;5;;;;;;0;;33,17;22,08;-11,09;1,32;10,79;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;31,52;22,93;-8,59;0,08;9,44;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;31,52;21,95;-9,57;0,07;11,29;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;30,97;21,95;-9,02;1,03;11,4;;;;;;;;;;;;
F. imperialis;5;;;;;;;;;23,1;23,1;1,25;;;;;;;;;;;;;
F. imperialis;5;;;33,35;33,43;35,2;1,015873016;59,62;34,65;25,27;-9,38;1,44;9,7;26,95;17,98;;;;;;;;;;
F. imperialis;5;;;;;;0;;35,29;23,07;-12,22;1,44;9,73;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;35,9;24,22;-11,68;2,71;9,96;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;32,56;24,93;-7,63;1,93;11,56;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;34,63;25,25;-9,38;0,08;13,46;;;;;;;;;;;;
F. imperialis;5;;;;;;;;;24,75;24,75;1,51;14,27;;;;;;;;;;;;
F. imperialis;5;;;36,09;35,34;35,34;1,023161552;59,51;34,54;29,6;-4,94;2,7;10,69;28,7;16,37;;;;;;;;;;
F. imperialis;5;;;;;;0;;35,01;24,38;-10,63;2,71;11,25;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;35,96;23,16;-12,8;2,7;10,58;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;33,86;25,29;-8,57;1,49;13,13;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;33,22;24,7;-8,52;0,08;13;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;33,26;;-33,26;1,35;13,55;;;;;;;;;;;;
F. imperialis;5;;;35,31;37,46;37,46;0,976792699;72,13;38,35;28,23;-10,12;1,84;13,73;15,07;15,36;;;;;;;;;;
F. imperialis;5;;;;;;0;;37,6;29,68;-7,92;1,84;16,07;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;37,6;28,31;-9,29;2,35;13,06;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;36,72;29,08;-7,64;1,08;13,51;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;33,95;;-33,95;0,78;13,99;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;37,63;;-37,63;1,99;14,04;;;;;;;;;;;;
F. imperialis;5;;;;;;;;;;0;;15,07;;;;;;;;;;;;
F. imperialis;5;;;35,17;32,31;76,25;1,983094928;37,72;38,45;28,15;-10,3;0,32;9,68;32,56;18,48;;;;;;;;;;
F. imperialis;5;;;;;;0;;38,21;27,14;-11,07;2,75;9,31;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;37,28;26,09;-11,19;1,93;11,74;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;34,36;27,23;-7,13;2,75;13,26;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;34,52;28,44;-6,08;;9,5;;;;;;;;;;;;
F. imperialis;5;;;;;;;;;28,54;28,54;;11,79;;;;;;;;;;;;
F. imperialis;5;;;21,13;21,12;19,99;0,977028348;20,26;20,46;16,01;-4,45;7,06;8,99;13,74;;;;;;;;;;;
F. imperialis;5;;;;;;0;;20,56;17,58;-2,98;5,31;7,56;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;20,59;18,78;-1,81;1,61;5,18;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;19,9;16,28;-3,62;3,52;0,08;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;21,74;17,12;-4,62;2,08;3,05;;;;;;;;;;;;
F. imperialis;5;;;;;;;;;;0;2,79;6,46;;;;;;;;;;;;
F. imperialis;5;;;20,85;21,83;21,98;1,122001021;25,5;19,59;16,3;-3,29;2,88;4,8;4,97;6,28;;;;;;;;;;
F. imperialis;5;;;;;;0;;20,6;16,21;-4,39;0,87;6,96;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;19,4;17,1;-2,3;1,92;8,13;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;21,19;;-21,19;1,59;8,42;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;20,24;;-20,24;1,45;6,36;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;20,59;;-20,59;1,6;;;;;;;;;;;;;
F. imperialis;5;;;23,94;21,13;21,13;1,088614116;19,38;19,41;16,22;-3,19;;4,16;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;20,14;16,84;-3,3;;7,55;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;19,38;16,5;-2,88;;9,39;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;19,98;18,17;-1,81;;6,38;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;21,15;18,16;-2,99;;8,25;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;16,22;;-16,22;;8,98;;;;;;;;;;;;
F. imperialis;5;;;21,15;20,08;20,08;1,014141414;17,99;19,8;20,85;1,05;;6,41;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;20,85;;-20,85;;5;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;20,29;;-20,29;;6,46;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;19,21;;-19,21;;8,52;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;19,88;;-19,88;;8,99;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;21,27;;-21,27;;6,76;;;;;;;;;;;;
F. imperialis;5;;;23,01;19,46;19,29;0,977698936;22,72;19,73;;-19,73;;5,47;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;20,34;;-20,34;;8,32;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;20,38;;-20,38;;9,59;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;18,64;;-18,64;;3,84;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;19,45;;-19,45;;7,11;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;18,48;;-18,48;;4,66;;;;;;;;;;;;
F. imperialis;5;;;20,86;23,16;22,81;1,149697581;19,83;19,84;17,37;-2,47;0;6,48;17,41;10,7;;;;;;;;;;
F. imperialis;5;;;;;;0;;20,2;15,37;-4,83;0;6,48;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;18,9;14,32;-4,58;0,72;4,18;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;17,89;16,97;-0,92;4,2;6,53;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;19,64;10,56;-9,08;0,1;6,5;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;18,69;16,06;-2,63;4,61;0;;;;;;;;;;;;
F. imperialis;5;;;19,11;19,53;17,08;0,912880812;19,1;18,71;15,87;-2,84;0,66;3,64;16,72;9,06;;;;;;;;;;
F. imperialis;5;;;;;;0;;18,86;14,68;-4,18;0,88;6,14;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;17,75;16,99;-0,76;2,16;8,73;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;20,15;15,86;-4,29;1,55;6,28;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;19,96;14,48;-5,48;6,83;7,56;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;13,61;14,47;0,86;6,83;7,56;;;;;;;;;;;;
F. imperialis;5;;;19,66;16,72;21,39;1,119309262;19;19,11;16,78;-2,33;0,09;8,57;16,11;12,25;;;;;;;;;;
F. imperialis;5;;;;;;0;;18,74;15,89;-2,85;1,44;6,54;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;17,91;15,15;-2,76;2,02;5,56;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;20,36;16,6;-3,76;2,16;5,56;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;19,47;;-19,47;3,54;4,76;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;18;;-18;;2,4;;;;;;;;;;;;
F. imperialis;5;;;19,42;19,09;19,09;0,963168517;21,03;19,82;17,45;-2,37;0,92;6,85;16,36;11,21;;;;;;;;;;
F. imperialis;5;;;;;;0;;19,68;14,96;-4,72;1,09;5,37;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;19,1;16,7;-2,4;1,7;5,54;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;19,1;15,63;-3,47;1,92;4,73;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;19,41;14,81;-4,6;1,45;8,67;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;19,65;14,72;-4,93;1,5;;;;;;;;;;;;;
F. imperialis;5;;;17,89;17,99;20,24;1,047619048;19,45;19,32;17,28;-2,04;;4,06;16,49;7,74;;;;;;;;;;
F. imperialis;5;;;;;;0;;19,83;15,4;-4,43;;4,81;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;19,59;15,5;-4,09;;5,41;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;20,75;15,16;-5,59;;6,84;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;20,75;15,16;-5,59;;8,54;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;17,28;15,16;-2,12;;0,25;;;;;;;;;;;;
F. imperialis;5;;;17,99;17,9;17,9;0,927941939;16,27;19,29;17,88;-1,41;2,16;5,6;17,58;11,42;;;;;;;;;;
F. imperialis;5;;;;;;0;;19,29;16,94;-2,35;0,51;6,78;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;19,69;16,45;-3,24;1,9;5,8;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;19,69;15,36;-4,33;2,37;6,66;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;20,54;15,53;-5,01;2,71;7,98;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;20,63;16,65;-3,98;0;5,38;;;;;;;;;;;;
F. imperialis;5;;;21,6;17,97;17,97;0,95331565;17,35;18,85;17,12;-1,73;0;7,4;16,68;12,84;;;;;;;;;;
F. imperialis;5;;;;;;0;;19,45;17,75;-1,7;0;7,75;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;18,36;17,89;-0,47;0;6,78;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;18,37;17,74;-0,63;1,8;6,12;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;19,44;17,74;-1,7;1,8;8,62;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;18,93;16,77;-2,16;2,42;8,94;;;;;;;;;;;;
F. imperialis;5;;;27,16;14,76;22,48;1,106299213;18,97;20,32;17,24;-3,08;;8,76;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;19,96;16,39;-3,57;;7,27;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;20,06;16,39;-3,67;;0,18;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;20,16;17,49;-2,67;;2,94;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;20,22;17,35;-2,87;;5,03;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;19,79;18,04;-1,75;;8,35;;;;;;;;;;;;
F. imperialis;5;;;19,35;23,09;23,09;1,193898656;14,84;19,34;17,82;-1,52;0,76;7,77;16,58;11,07;;;;;;;;;;
F. imperialis;5;;;;;;0;;19,06;17,1;-1,96;1,88;5,22;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;20,76;16,12;-4,64;2,27;8,57;;;;;;;;;;;;
F. imperialis;5;;;;;;0;;20,01;16,42;-3,59;0;8,53;;;;;;;;;;;;
